"for over years now and",2,"for over years now","and"
"for people who dont have",2,"for people who dont","have"
"for per equivalent dwelling unit",2,"for per equivalent dwelling","unit"
"for percent of the companys",2,"for percent of the","companys"
"for percent of the total",2,"for percent of the","total"
"for perverting the course of",2,"for perverting the course","of"
"for prime time she said",2,"for prime time she","said"
"for private jets fivestar hotels",2,"for private jets fivestar","hotels"
"for quite a while and",2,"for quite a while","and"
"for quite a while i",2,"for quite a while","i"
"for quite some time now",2,"for quite some time","now"
"for reasons best known to",2,"for reasons best known","to"
"for research on labor and",2,"for research on labor","and"
"for rm if not mistaken",2,"for rm if not","mistaken"
"for road and bridge repairs",2,"for road and bridge","repairs"
"for romance at breakfast afterward",2,"for romance at breakfast","afterward"
"for so long that it",2,"for so long that","it"
"for some of my favorite",2,"for some of my","favorite"
"for some reason i didnt",2,"for some reason i","didnt"
"for some reason i had",2,"for some reason i","had"
"for some reason i just",2,"for some reason i","just"
"for some reason i thought",2,"for some reason i","thought"
"for some reason it was",2,"for some reason it","was"
"for some reason there are",2,"for some reason there","are"
"for some time now so",2,"for some time now","so"
"for some time to come",2,"for some time to","come"
"for something to go wrong",2,"for something to go","wrong"
"for speeding and driving without",2,"for speeding and driving","without"
"for spilling into the roadway",2,"for spilling into the","roadway"
"for stopping by and be",2,"for stopping by and","be"
"for stopping by and have",2,"for stopping by and","have"
"for stopping by and hope",2,"for stopping by and","hope"
"for stopping by and i",2,"for stopping by and","i"
"for stopping by and please",2,"for stopping by and","please"
"for stopping by as i",2,"for stopping by as","i"
"for stopping by have a",2,"for stopping by have","a"
"for stopping by today i",2,"for stopping by today","i"
"for sure it had to",2,"for sure it had","to"
"for taking the time out",2,"for taking the time","out"
"for that as i was",2,"for that as i","was"
"for that kind of foolishness",2,"for that kind of","foolishness"
"for that matter for the",2,"for that matter for","the"
"for the abundance of love",2,"for the abundance of","love"
"for the arizona department of",2,"for the arizona department","of"
"for the attention of the",2,"for the attention of","the"
"for the beauty of the",2,"for the beauty of","the"
"for the best place to",2,"for the best place","to"
"for the best though she",2,"for the best though","she"
"for the blues who are",2,"for the blues who","are"
"for the board of education",2,"for the board of","education"
"for the bodies of two",2,"for the bodies of","two"
"for the border and the",2,"for the border and","the"
"for the chance to win",2,"for the chance to","win"
"for the city i was",2,"for the city i","was"
"for the cost of the",2,"for the cost of","the"
"for the creation of a",2,"for the creation of","a"
"for the day when the",2,"for the day when","the"
"for the deficit because its",2,"for the deficit because","its"
"for the dissolution of the",2,"for the dissolution of","the"
"for the drive back to",2,"for the drive back","to"
"for the driver of the",2,"for the driver of","the"
"for the extension of the",2,"for the extension of","the"
"for the eye drops i",2,"for the eye drops","i"
"for the fact that our",2,"for the fact that","our"
"for the fact that the",2,"for the fact that","the"
"for the first couple of",2,"for the first couple","of"
"for the first few months",2,"for the first few","months"
"for the first five games",2,"for the first five","games"
"for the first quarter of",2,"for the first quarter","of"
"for the first six months",2,"for the first six","months"
"for the first time all",2,"for the first time","all"
"for the first time an",2,"for the first time","an"
"for the first time at",2,"for the first time","at"
"for the first time but",2,"for the first time","but"
"for the first time during",2,"for the first time","during"
"for the first time he",2,"for the first time","he"
"for the first time so",2,"for the first time","so"
"for the first time there",2,"for the first time","there"
"for the first time today",2,"for the first time","today"
"for the first time too",2,"for the first time","too"
"for the first time what",2,"for the first time","what"
"for the first time with",2,"for the first time","with"
"for the first year of",2,"for the first year","of"
"for the first years of",2,"for the first years","of"
"for the four of us",2,"for the four of","us"
"for the fourth quarter of",2,"for the fourth quarter","of"
"for the fourth time in",2,"for the fourth time","in"
"for the front and back",2,"for the front and","back"
"for the full list of",2,"for the full list","of"
"for the future and the",2,"for the future and","the"
"for the general public to",2,"for the general public","to"
"for the gift card i",2,"for the gift card","i"
"for the glory of the",2,"for the glory of","the"
"for the heck of it",2,"for the heck of","it"
"for the idea of a",2,"for the idea of","a"
"for the inevitable the of",2,"for the inevitable the","of"
"for the ipad and iphone",2,"for the ipad and","iphone"
"for the killings but acknowledged",2,"for the killings but","acknowledged"
"for the labor day weekend",2,"for the labor day","weekend"
"for the lack of post",2,"for the lack of","post"
"for the last few months",2,"for the last few","months"
"for the last minutes i",2,"for the last minutes","i"
"for the last seven years",2,"for the last seven","years"
"for the last several months",2,"for the last several","months"
"for the last ten years",2,"for the last ten","years"
"for the last three years",2,"for the last three","years"
"for the least of these",2,"for the least of","these"
"for the light to go",2,"for the light to","go"
"for the little guy and",2,"for the little guy","and"
"for the longest time i",2,"for the longest time","i"
"for the los angeles county",2,"for the los angeles","county"
"for the mistakes that were",2,"for the mistakes that","were"
"for the month of december",2,"for the month of","december"
"for the month of march",2,"for the month of","march"
"for the most part a",2,"for the most part","a"
"for the most part are",2,"for the most part","are"
"for the most part he",2,"for the most part","he"
"for the most part in",2,"for the most part","in"
"for the most part its",2,"for the most part","its"
"for the most part she",2,"for the most part","she"
"for the most part this",2,"for the most part","this"
"for the national retail federation",2,"for the national retail","federation"
"for the nba draft and",2,"for the nba draft","and"
"for the new york mets",2,"for the new york","mets"
"for the new york times",2,"for the new york","times"
"for the next day i",2,"for the next day","i"
"for the next few days",2,"for the next few","days"
"for the next five weeks",2,"for the next five","weeks"
"for the next five years",2,"for the next five","years"
"for the next four months",2,"for the next four","months"
"for the next four years",2,"for the next four","years"
"for the next several years",2,"for the next several","years"
"for the next week ive",2,"for the next week","ive"
"for the office of the",2,"for the office of","the"
"for the overspreading of abominations",2,"for the overspreading of","abominations"
"for the past few weeks",2,"for the past few","weeks"
"for the past month i",2,"for the past month","i"
"for the past six years",2,"for the past six","years"
"for the past two days",2,"for the past two","days"
"for the past year the",2,"for the past year","the"
"for the past years and",2,"for the past years","and"
"for the people of missouri",2,"for the people of","missouri"
"for the people of the",2,"for the people of","the"
"for the people who are",2,"for the people who","are"
"for the prevention of cruelty",2,"for the prevention of","cruelty"
"for the privilege of being",2,"for the privilege of","being"
"for the purpose of getting",2,"for the purpose of","getting"
"for the race to start",2,"for the race to","start"
"for the rain to stop",2,"for the rain to","stop"
"for the really hot stuff",2,"for the really hot","stuff"
"for the remainder of this",2,"for the remainder of","this"
"for the removal of the",2,"for the removal of","the"
"for the rest of their",2,"for the rest of","their"
"for the rich and famous",2,"for the rich and","famous"
"for the safety of my",2,"for the safety of","my"
"for the sake of evil",2,"for the sake of","evil"
"for the sake of his",2,"for the sake of","his"
"for the sake of my",2,"for the sake of","my"
"for the sake of your",2,"for the sake of","your"
"for the same price as",2,"for the same price","as"
"for the same reason i",2,"for the same reason","i"
"for the san diego county",2,"for the san diego","county"
"for the season to a",2,"for the season to","a"
"for the second consecutive season",2,"for the second consecutive","season"
"for the second straight night",2,"for the second straight","night"
"for the second straight season",2,"for the second straight","season"
"for the sins of all",2,"for the sins of","all"
"for the site of the",2,"for the site of","the"
"for the spx at the",2,"for the spx at","the"
"for the stabbing of clarks",2,"for the stabbing of","clarks"
"for the state police lt",2,"for the state police","lt"
"for the story of a",2,"for the story of","a"
"for the study of life",2,"for the study of","life"
"for the survival of the",2,"for the survival of","the"
"for the team lead in",2,"for the team lead","in"
"for the third straight year",2,"for the third straight","year"
"for the third time and",2,"for the third time","and"
"for the third time in",2,"for the third time","in"
"for the third year in",2,"for the third year","in"
"for the time being and",2,"for the time being","and"
"for the time being but",2,"for the time being","but"
"for the top of the",2,"for the top of","the"
"for the tustin area council",2,"for the tustin area","council"
"for the two of us",2,"for the two of","us"
"for the united states and",2,"for the united states","and"
"for the us attorneys office",2,"for the us attorneys","office"
"for the us department of",2,"for the us department","of"
"for the us economy and",2,"for the us economy","and"
"for the vast majority of",2,"for the vast majority","of"
"for the versatile blogger award",2,"for the versatile blogger","award"
"for the village center on",2,"for the village center","on"
"for the way in which",2,"for the way in","which"
"for the whole family the",2,"for the whole family","the"
"for the whole family to",2,"for the whole family","to"
"for the whole of my",2,"for the whole of","my"
"for the year after a",2,"for the year after","a"
"for their involvement in the",2,"for their involvement in","the"
"for them but not for",2,"for them but not","for"
"for them i usually make",2,"for them i usually","make"
"for them to deal with",2,"for them to deal","with"
"for them to do so",2,"for them to do","so"
"for themselves and their families",2,"for themselves and their","families"
"for this and it was",2,"for this and it","was"
"for this blog this semester",2,"for this blog this","semester"
"for this challenge so i",2,"for this challenge so","i"
"for this one i used",2,"for this one i","used"
"for this project i used",2,"for this project i","used"
"for this sort of thing",2,"for this sort of","thing"
"for this weeks sepia saturday",2,"for this weeks sepia","saturday"
"for those like myself who",2,"for those like myself","who"
"for those of us in",2,"for those of us","in"
"for those of us that",2,"for those of us","that"
"for those of us with",2,"for those of us","with"
"for those of you like",2,"for those of you","like"
"for those of you looking",2,"for those of you","looking"
"for those of you new",2,"for those of you","new"
"for those unfamiliar with the",2,"for those unfamiliar with","the"
"for those who are going",2,"for those who are","going"
"for those who are having",2,"for those who are","having"
"for those who are interested",2,"for those who are","interested"
"for those who do not",2,"for those who do","not"
"for those who have lost",2,"for those who have","lost"
"for three to six months",2,"for three to six","months"
"for too long people have",2,"for too long people","have"
"for unemployment benefits fell sharply",2,"for unemployment benefits fell","sharply"
"for us as well as",2,"for us as well","as"
"for us it gave us",2,"for us it gave","us"
"for us ladies that dont",2,"for us ladies that","dont"
"for us therefore let us",2,"for us therefore let","us"
"for us to do this",2,"for us to do","this"
"for us to enjoy a",2,"for us to enjoy","a"
"for us to go home",2,"for us to go","home"
"for us to know more",2,"for us to know","more"
"for us to see the",2,"for us to see","the"
"for visiting my blog today",2,"for visiting my blog","today"
"for well over a year",2,"for well over a","year"
"for what it is a",2,"for what it is","a"
"for what it is and",2,"for what it is","and"
"for what it is but",2,"for what it is","but"
"for what looks to be",2,"for what looks to","be"
"for what seems to be",2,"for what seems to","be"
"for which has called me",2,"for which has called","me"
"for which you have to",2,"for which you have","to"
"for with a home run",2,"for with a home","run"
"for with homers and rbi",2,"for with homers and","rbi"
"for with runners in scoring",2,"for with runners in","scoring"
"for with three rbis and",2,"for with three rbis","and"
"for yards and a touchdown",2,"for yards and a","touchdown"
"for years and years now",2,"for years and years","now"
"for years and years the",2,"for years and years","the"
"for years at a time",2,"for years at a","time"
"for years i love the",2,"for years i love","the"
"for years i think it",2,"for years i think","it"
"for years ive been trying",2,"for years ive been","trying"
"for you all to read",2,"for you all to","read"
"for you and all the",2,"for you and all","the"
"for you even if it",2,"for you even if","it"
"for you plans to prosper",2,"for you plans to","prosper"
"for you to have a",2,"for you to have","a"
"for you to see it",2,"for you to see","it"
"for your friends and family",2,"for your friends and","family"
"for youth pastors injected with",2,"for youth pastors injected","with"
"force in legitimizing rock n",2,"force in legitimizing rock","n"
"force trauma to the head",2,"force trauma to the","head"
"forces acting on the bit",2,"forces acting on the","bit"
"forecasting a percent increase in",2,"forecasting a percent increase","in"
"foreign applications and patents corresponding",2,"foreign applications and patents","corresponding"
"foreign publishers all over the",2,"foreign publishers all over","the"
"forests along the connecticut river",2,"forests along the connecticut","river"
"forever this past week i",2,"forever this past week","i"
"forget per cent forget per",2,"forget per cent forget","per"
"forget to check out her",2,"forget to check out","her"
"forgetting what is behind and",2,"forgetting what is behind","and"
"forgive myself that i havent",2,"forgive myself that i","havent"
"forgot about him im sorry",2,"forgot about him im","sorry"
"forgot i even had i",2,"forgot i even had","i"
"form he chooses for it",2,"form he chooses for","it"
"former assistant coach jerry sandusky",2,"former assistant coach jerry","sandusky"
"former atlanta falcons safety ray",2,"former atlanta falcons safety","ray"
"former chief development officer turkia",2,"former chief development officer","turkia"
"former executive director of the",2,"former executive director of","the"
"former first lady nancy reagan",2,"former first lady nancy","reagan"
"former manager tony la russas",2,"former manager tony la","russas"
"former minnesota gov tim pawlenty",2,"former minnesota gov tim","pawlenty"
"former news of the world",2,"former news of the","world"
"former pennsylvania sen rick santorum",2,"former pennsylvania sen rick","santorum"
"former president bill clinton in",2,"former president bill clinton","in"
"former president george w bush",2,"former president george w","bush"
"former scouting director assistant coach",2,"former scouting director assistant","coach"
"former us senator from pennsylvania",2,"former us senator from","pennsylvania"
"fortunate to be able to",2,"fortunate to be able","to"
"fortunately there are plenty of",2,"fortunately there are plenty","of"
"forward and two steps back",2,"forward and two steps","back"
"forward to all year long",2,"forward to all year","long"
"forward to being able to",2,"forward to being able","to"
"forward to getting back to",2,"forward to getting back","to"
"forward to going to work",2,"forward to going to","work"
"forward to seeing what everyone",2,"forward to seeing what","everyone"
"forward to seeing you there",2,"forward to seeing you","there"
"forward to the opportunity to",2,"forward to the opportunity","to"
"forward to visiting you all",2,"forward to visiting you","all"
"found by a search engine",2,"found by a search","engine"
"found it hard to believe",2,"found it hard to","believe"
"found it very difficult to",2,"found it very difficult","to"
"found no place for them",2,"found no place for","them"
"found out i was pregnant",2,"found out i was","pregnant"
"found out that a lot",2,"found out that a","lot"
"found out the hard way",2,"found out the hard","way"
"found something that works for",2,"found something that works","for"
"found that older women were",2,"found that older women","were"
"found them to be very",2,"found them to be","very"
"found this to be true",2,"found this to be","true"
"foundation for the arts and",2,"foundation for the arts","and"
"founded on calculated boundaries and",2,"founded on calculated boundaries","and"
"founder of the girl scouts",2,"founder of the girl","scouts"
"four hours later we were",2,"four hours later we","were"
"four of the last five",2,"four of the last","five"
"four or five of us",2,"four or five of","us"
"four out of the five",2,"four out of the","five"
"four times a day i",2,"four times a day","i"
"four years in prison on",2,"four years in prison","on"
"four years schools are only",2,"four years schools are","only"
"fourevening lucky fivemidday lucky fiveevening",2,"fourevening lucky fivemidday lucky","fiveevening"
"fourmidday daily fourevening lucky fivemidday",2,"fourmidday daily fourevening lucky","fivemidday"
"fourth homer of the season",2,"fourth homer of the","season"
"fourth quarter and mostly hobbled",2,"fourth quarter and mostly","hobbled"
"fouryear span so the register",2,"fouryear span so the","register"
"frankenstein and bride of frankenstein",2,"frankenstein and bride of","frankenstein"
"free agent of alltime in",2,"free agent of alltime","in"
"free and able to determine",2,"free and able to","determine"
"free and open to all",2,"free and open to","all"
"free credit report each year",2,"free credit report each","year"
"free to add your own",2,"free to add your","own"
"free to click on the",2,"free to click on","the"
"free to contact me anytime",2,"free to contact me","anytime"
"free to do as they",2,"free to do as","they"
"free to leave a comment",2,"free to leave a","comment"
"free to stop by and",2,"free to stop by","and"
"freedom of information act request",2,"freedom of information act","request"
"fresh in my mind i",2,"fresh in my mind","i"
"fresh waters the compact requires",2,"fresh waters the compact","requires"
"freshman year in high school",2,"freshman year in high","school"
"freshman year of high school",2,"freshman year of high","school"
"friday flash story that you",2,"friday flash story that","you"
"friday lecture series the basic",2,"friday lecture series the","basic"
"friday night at safeco field",2,"friday night at safeco","field"
"friday night we had dinner",2,"friday night we had","dinner"
"fridge for a few hours",2,"fridge for a few","hours"
"friend of mine and i",2,"friend of mine and","i"
"friend of mine who is",2,"friend of mine who","is"
"friends and family and the",2,"friends and family and","the"
"friends i hope you are",2,"friends i hope you","are"
"friends that i grew up",2,"friends that i grew","up"
"fringe fringe fringe fringe fringe",2,"fringe fringe fringe fringe","fringe"
"from a combination of the",2,"from a combination of","the"
"from a long line of",2,"from a long line","of"
"from a long ways back",2,"from a long ways","back"
"from a mile away and",2,"from a mile away","and"
"from a point of view",2,"from a point of","view"
"from a variety of sources",2,"from a variety of","sources"
"from a very young age",2,"from a very young","age"
"from a woman i was",2,"from a woman i","was"
"from across the room and",2,"from across the room","and"
"from across the united states",2,"from across the united","states"
"from all of us here",2,"from all of us","here"
"from all over the bay",2,"from all over the","bay"
"from all over the state",2,"from all over the","state"
"from all the talking and",2,"from all the talking","and"
"from am pm march at",2,"from am pm march","at"
"from am to pm april",2,"from am to pm","april"
"from am to pm on",2,"from am to pm","on"
"from any and all liability",2,"from any and all","liability"
"from appalachian state will turn",2,"from appalachian state will","turn"
"from around the world will",2,"from around the world","will"
"from around to last dc",2,"from around to last","dc"
"from both inside and outside",2,"from both inside and","outside"
"from cal state long beach",2,"from cal state long","beach"
"from canada to the gulf",2,"from canada to the","gulf"
"from culture backgrounds heritages as",2,"from culture backgrounds heritages","as"
"from england to new york",2,"from england to new","york"
"from factory cd single facd",2,"from factory cd single","facd"
"from geneva to paris was",2,"from geneva to paris","was"
"from heat and stir in",2,"from heat and stir","in"
"from high school this year",2,"from high school this","year"
"from his days as a",2,"from his days as","a"
"from holy to secular use",2,"from holy to secular","use"
"from loris garden pg the",2,"from loris garden pg","the"
"from loyd root kick rv",2,"from loyd root kick","rv"
"from members of the public",2,"from members of the","public"
"from million in the first",2,"from million in the","first"
"from million or cents per",2,"from million or cents","per"
"from million or per share",2,"from million or per","share"
"from my blog for a",2,"from my blog for","a"
"from my front door to",2,"from my front door","to"
"from my home to yours",2,"from my home to","yours"
"from my side of the",2,"from my side of","the"
"from new york city to",2,"from new york city","to"
"from no overall to no",2,"from no overall to","no"
"from noon to pm at",2,"from noon to pm","at"
"from now on i am",2,"from now on i","am"
"from now on i will",2,"from now on i","will"
"from now on im going",2,"from now on im","going"
"from on top of the",2,"from on top of","the"
"from one day to another",2,"from one day to","another"
"from one generation to another",2,"from one generation to","another"
"from one of the best",2,"from one of the","best"
"from one place to another",2,"from one place to","another"
"from one to the next",2,"from one to the","next"
"from one to the other",2,"from one to the","other"
"from our hotel to the",2,"from our hotel to","the"
"from out of state the",2,"from out of state","the"
"from pan and set aside",2,"from pan and set","aside"
"from percent the month before",2,"from percent the month","before"
"from pm to pm and",2,"from pm to pm","and"
"from pm to pm on",2,"from pm to pm","on"
"from points down to beat",2,"from points down to","beat"
"from portland so we had",2,"from portland so we","had"
"from regency era england but",2,"from regency era england","but"
"from rm to rm a",2,"from rm to rm","a"
"from second base on an",2,"from second base on","an"
"from some of the most",2,"from some of the","most"
"from square feet to square",2,"from square feet to","square"
"from start to finish he",2,"from start to finish","he"
"from start to finish there",2,"from start to finish","there"
"from taniya nayak taniyanayak on",2,"from taniya nayak taniyanayak","on"
"from the angle of the",2,"from the angle of","the"
"from the beginning i knew",2,"from the beginning i","knew"
"from the beginning of the",2,"from the beginning of","the"
"from the beginning of time",2,"from the beginning of","time"
"from the board last month",2,"from the board last","month"
"from the bottom of our",2,"from the bottom of","our"
"from the building but the",2,"from the building but","the"
"from the butterflies and blossoms",2,"from the butterflies and","blossoms"
"from the department of health",2,"from the department of","health"
"from the drop down menu",2,"from the drop down","menu"
"from the edge of the",2,"from the edge of","the"
"from the expression on his",2,"from the expression on","his"
"from the fact that we",2,"from the fact that","we"
"from the father full of",2,"from the father full","of"
"from the field and had",2,"from the field and","had"
"from the first time we",2,"from the first time","we"
"from the free game online",2,"from the free game","online"
"from the free throw line",2,"from the free throw","line"
"from the heat and let",2,"from the heat and","let"
"from the late s and",2,"from the late s","and"
"from the looks of it",2,"from the looks of","it"
"from the mids to mids",2,"from the mids to","mids"
"from the moment i saw",2,"from the moment i","saw"
"from the oil with a",2,"from the oil with","a"
"from the oven and let",2,"from the oven and","let"
"from the pages of the",2,"from the pages of","the"
"from the pan and allow",2,"from the pan and","allow"
"from the publishers website here",2,"from the publishers website","here"
"from the ranks of the",2,"from the ranks of","the"
"from the same set of",2,"from the same set","of"
"from the sense that i",2,"from the sense that","i"
"from the side of the",2,"from the side of","the"
"from the sides of the",2,"from the sides of","the"
"from the street to the",2,"from the street to","the"
"from the th century on",2,"from the th century","on"
"from the time he was",2,"from the time he","was"
"from the time of its",2,"from the time of","its"
"from the time we are",2,"from the time we","are"
"from the top of a",2,"from the top of","a"
"from the top of my",2,"from the top of","my"
"from the university of colorado",2,"from the university of","colorado"
"from the very beginning the",2,"from the very beginning","the"
"from the water and let",2,"from the water and","let"
"from the weight of the",2,"from the weight of","the"
"from the world and what",2,"from the world and","what"
"from the world trade center",2,"from the world trade","center"
"from then on it is",2,"from then on it","is"
"from this day forward i",2,"from this day forward","i"
"from to in the past",2,"from to in the","past"
"from to then fell percent",2,"from to then fell","percent"
"from top to bottom the",2,"from top to bottom","the"
"from twentieth century fox home",2,"from twentieth century fox","home"
"from units to units a",2,"from units to units","a"
"from what i can gather",2,"from what i can","gather"
"from what i know of",2,"from what i know","of"
"from what ive read about",2,"from what ive read","about"
"from when i was a",2,"from when i was","a"
"from where i live so",2,"from where i live","so"
"from where we were sitting",2,"from where we were","sitting"
"from whose face the earth",2,"from whose face the","earth"
"from you please dont take",2,"from you please dont","take"
"from your point of view",2,"from your point of","view"
"front of him as he",2,"front of him as","he"
"front of his car and",2,"front of his car","and"
"front of the house while",2,"front of the house","while"
"front of the stage it",2,"front of the stage","it"
"front of the white house",2,"front of the white","house"
"fry for a short while",2,"fry for a short","while"
"full backup of the site",2,"full backup of the","site"
"full moon of the year",2,"full moon of the","year"
"full of grace and truth",2,"full of grace and","truth"
"full of twists and turns",2,"full of twists and","turns"
"fun at the same time",2,"fun at the same","time"
"fun of getting caught last",2,"fun of getting caught","last"
"fun plans for the weekend",2,"fun plans for the","weekend"
"fun to make and even",2,"fun to make and","even"
"fund drive for new trees",2,"fund drive for new","trees"
"fund of the oregon community",2,"fund of the oregon","community"
"funding from the national institutes",2,"funding from the national","institutes"
"funny thing happened on the",2,"funny thing happened on","the"
"funny to think that i",2,"funny to think that","i"
"further and say governments should",2,"further and say governments","should"
"further details available from the",2,"further details available from","the"
"further to article of the",2,"further to article of","the"
"g carbohydrates g fiber mg",2,"g carbohydrates g fiber","mg"
"g fiber mg sodium percent",2,"g fiber mg sodium","percent"
"g protein g carbohydrates g",2,"g protein g carbohydrates","g"
"gall and in my thirst",2,"gall and in my","thirst"
"gallon according to wright express",2,"gallon according to wright","express"
"gallon not cents per dollar",2,"gallon not cents per","dollar"
"galt union elementary school district",2,"galt union elementary school","district"
"game a lot of people",2,"game a lot of","people"
"game averaging points and rebounds",2,"game averaging points and","rebounds"
"game for the first time",2,"game for the first","time"
"game is scheduled to begin",2,"game is scheduled to","begin"
"game of the bestofseven series",2,"game of the bestofseven","series"
"game of the eastern conference",2,"game of the eastern","conference"
"game of the regular season",2,"game of the regular","season"
"game of the season for",2,"game of the season","for"
"game of the season the",2,"game of the season","the"
"game online paintball play and",2,"game online paintball play","and"
"game online paintball play are",2,"game online paintball play","are"
"game to washington evened the",2,"game to washington evened","the"
"games in the first round",2,"games in the first","round"
"games is of for yards",2,"games is of for","yards"
"games of a playoff series",2,"games of a playoff","series"
"games of the season and",2,"games of the season","and"
"games of the season for",2,"games of the season","for"
"games retailers stand to lose",2,"games retailers stand to","lose"
"games with a knee injury",2,"games with a knee","injury"
"gateway between asteriskfreepbx and google",2,"gateway between asteriskfreepbx and","google"
"gathered in front of the",2,"gathered in front of","the"
"gave an interview to the",2,"gave an interview to","the"
"gave her my full attention",2,"gave her my full","attention"
"gave his life for me",2,"gave his life for","me"
"gave his only son that",2,"gave his only son","that"
"gave it back to him",2,"gave it back to","him"
"gave me a standing ovation",2,"gave me a standing","ovation"
"gave me the confidence to",2,"gave me the confidence","to"
"gave me vinegar to drink",2,"gave me vinegar to","drink"
"gave some of them didnt",2,"gave some of them","didnt"
"gave up a triple to",2,"gave up a triple","to"
"gave up looking for work",2,"gave up looking for","work"
"gave us a lot of",2,"gave us a lot","of"
"gb of free storage space",2,"gb of free storage","space"
"gearing up for the new",2,"gearing up for the","new"
"geeks like you and i",2,"geeks like you and","i"
"general manager and head coach",2,"general manager and head","coach"
"general manager mickey loomis for",2,"general manager mickey loomis","for"
"general motors ceo dan akerson",2,"general motors ceo dan","akerson"
"generating a lot of buzz",2,"generating a lot of","buzz"
"gently fold in the remaining",2,"gently fold in the","remaining"
"gently until the liquid is",2,"gently until the liquid","is"
"george zimmerman made his first",2,"george zimmerman made his","first"
"get a bottle of this",2,"get a bottle of","this"
"get a chance to meet",2,"get a chance to","meet"
"get a chance to take",2,"get a chance to","take"
"get a drink of water",2,"get a drink of","water"
"get a feel of where",2,"get a feel of","where"
"get a good look at",2,"get a good look","at"
"get a good view of",2,"get a good view","of"
"get a hair cut and",2,"get a hair cut","and"
"get a handle on the",2,"get a handle on","the"
"get a hang of this",2,"get a hang of","this"
"get a head start on",2,"get a head start","on"
"get a license to use",2,"get a license to","use"
"get a lot of people",2,"get a lot of","people"
"get a phone call or",2,"get a phone call","or"
"get a picture of it",2,"get a picture of","it"
"get a repeal bill through",2,"get a repeal bill","through"
"get a sense of the",2,"get a sense of","the"
"get a suit for a",2,"get a suit for","a"
"get a taste for it",2,"get a taste for","it"
"get along well with life",2,"get along well with","life"
"get around to reading them",2,"get around to reading","them"
"get as good a jump",2,"get as good a","jump"
"get away with it i",2,"get away with it","i"
"get back i dont know",2,"get back i dont","know"
"get back in the groove",2,"get back in the","groove"
"get back in the habit",2,"get back in the","habit"
"get back in the swing",2,"get back in the","swing"
"get back out there and",2,"get back out there","and"
"get back to the basics",2,"get back to the","basics"
"get back to the first",2,"get back to the","first"
"get back to you on",2,"get back to you","on"
"get best buy to do",2,"get best buy to","do"
"get caught in the middle",2,"get caught in the","middle"
"get from point a to",2,"get from point a","to"
"get her job back and",2,"get her job back","and"
"get him in the car",2,"get him in the","car"
"get him out of there",2,"get him out of","there"
"get him to take the",2,"get him to take","the"
"get in on the act",2,"get in on the","act"
"get in on the fun",2,"get in on the","fun"
"get in the car and",2,"get in the car","and"
"get in the way and",2,"get in the way","and"
"get in touch with the",2,"get in touch with","the"
"get in touch with their",2,"get in touch with","their"
"get into acting in the",2,"get into acting in","the"
"get into that right now",2,"get into that right","now"
"get it all done and",2,"get it all done","and"
"get it back in place",2,"get it back in","place"
"get it out of the",2,"get it out of","the"
"get me out of the",2,"get me out of","the"
"get me started on the",2,"get me started on","the"
"get me wrong but i",2,"get me wrong but","i"
"get me wrong i have",2,"get me wrong i","have"
"get me wrong im not",2,"get me wrong im","not"
"get more than mpg on",2,"get more than mpg","on"
"get my hands on i",2,"get my hands on","i"
"get my hands on this",2,"get my hands on","this"
"get on my nerves i",2,"get on my nerves","i"
"get on the plane for",2,"get on the plane","for"
"get on with it i",2,"get on with it","i"
"get on with my life",2,"get on with my","life"
"get on with their lives",2,"get on with their","lives"
"get one made for him",2,"get one made for","him"
"get out early and get",2,"get out early and","get"
"get out of bed by",2,"get out of bed","by"
"get out of jail free",2,"get out of jail","free"
"get out of my head",2,"get out of my","head"
"get out of my pjs",2,"get out of my","pjs"
"get out of the car",2,"get out of the","car"
"get out of the contract",2,"get out of the","contract"
"get out of there as",2,"get out of there","as"
"get past the fact that",2,"get past the fact","that"
"get ready and head over",2,"get ready and head","over"
"get rid of them i",2,"get rid of them","i"
"get rid of them without",2,"get rid of them","without"
"get something to eat at",2,"get something to eat","at"
"get that out of the",2,"get that out of","the"
"get the attention of those",2,"get the attention of","those"
"get the ball back for",2,"get the ball back","for"
"get the help they need",2,"get the help they","need"
"get the most bang for",2,"get the most bang","for"
"get the out of there",2,"get the out of","there"
"get the tools and support",2,"get the tools and","support"
"get their heads blown off",2,"get their heads blown","off"
"get them out of the",2,"get them out of","the"
"get tired of all the",2,"get tired of all","the"
"get to be at home",2,"get to be at","home"
"get to catch up on",2,"get to catch up","on"
"get to go back to",2,"get to go back","to"
"get to know one another",2,"get to know one","another"
"get to know the people",2,"get to know the","people"
"get to make up the",2,"get to make up","the"
"get to see much of",2,"get to see much","of"
"get to speak with him",2,"get to speak with","him"
"get to talk to a",2,"get to talk to","a"
"get to the end of",2,"get to the end","of"
"get to the heart of",2,"get to the heart","of"
"get to the next one",2,"get to the next","one"
"get together to talk and",2,"get together to talk","and"
"get up close and personal",2,"get up close and","personal"
"get up half an hour",2,"get up half an","hour"
"get up out of bed",2,"get up out of","bed"
"get upside down i could",2,"get upside down i","could"
"get used to a new",2,"get used to a","new"
"get used to it and",2,"get used to it","and"
"get used to it it",2,"get used to it","it"
"get you out of bed",2,"get you out of","bed"
"get your ends trimmed every",2,"get your ends trimmed","every"
"get your hands on one",2,"get your hands on","one"
"gets a call from the",2,"gets a call from","the"
